"Country","Year","gwh","gwh_stock"
"Canada",2015,10.4650144,10.4650144
"Canada",2016,0.8812712,11.3462856
"Canada",2017,0.88404,12.2303256
"Canada",2018,0.17088,12.4012056
"Canada",2019,0.35552,12.7567256
"Canada",2020,0.663356,13.4200816
"Canada",2021,0.363199999999998,13.7832816
"Canada",2022,1.6024,15.3856816
"Canada",2023,0.904000000000002,16.2896816
"Canada",2024,1.3344,17.6240816
"Canada",2025,0,17.5667183928224
"Canada",2026,0.8759110563284,18.4426294491508
"Canada",2027,0.8759110563284,19.3185405054792
"Canada",2028,1.59591105632848,20.9144515618077
"Canada",2029,0.8759110563284,21.7903626181361
"Canada",2030,0.909847898433679,22.7002105165698
"Canada",2031,2.43278037753688,25.1329908941066
"Canada",2032,2.4327803775368,27.5657712716434
"Canada",2033,2.45678037753688,30.0225516491803
"Canada",2034,2.5127803775368,32.5353320267171
"Canada",2035,2.49911962338024,35.0344516500974
"Canada",2036,2.84218953091328,37.8766411810106
"Canada",2037,2.84218953091328,40.7188307119239
"Canada",2038,2.9221895309132,43.6410202428371
"Canada",2039,2.84218953091328,46.4832097737504
"Canada",2040,2.87572096512768,49.3589307388781
"Canada",2041,3.34209062336504,52.7010213622431
"Canada",2042,3.34209062336505,56.0431119856082
"Canada",2043,3.34209062336504,59.3852026089732
"Canada",2044,3.34209062336505,62.7272932323383
"Canada",2045,3.47672551003359,66.2040187423718
"Canada",2046,2.7369691640804,68.9409879064522
"Canada",2047,2.7369691640804,71.6779570705327
"Canada",2048,2.73696916408047,74.4149262346131
"Canada",2049,2.7369691640804,77.1518953986935
"Canada",2050,2.69719958480041,79.8490949834939
"Mexico",2015,2.7056,2.7056
"Mexico",2016,0.6528,3.3584
"Mexico",2017,0.4408,3.7992
"Mexico",2018,0.127199999999999,3.9264
"Mexico",2019,4.432,8.3584
"Mexico",2020,1.8704,10.2288
"Mexico",2021,1.0056,11.2344
"Mexico",2022,0.416,11.6504
"Mexico",2023,0.088000000000001,11.7384
"Mexico",2024,0.6616,12.4
"Mexico",2025,1.2,13.6
"Mexico",2026,2.4,16
"Mexico",2027,3.2,19.2
"Mexico",2028,4,23.2
"Mexico",2029,0.8,24
"Mexico",2030,0.8,24.8
"Mexico",2031,2.4,27.2
"Mexico",2032,1.6,28.8
"Mexico",2033,1.6,30.4
"Mexico",2034,0.8,31.2
"Mexico",2035,3.2,34.4
"Mexico",2036,2.4,36.8
"Mexico",2037,1.6,38.4
"Mexico",2038,3.2,41.6
"Mexico",2039,1.76,43.36
"Mexico",2040,1.76,45.12
"Mexico",2041,1.75999999999999,46.88
"Mexico",2042,1.76,48.64
"Mexico",2043,1.76,50.4
"Mexico",2044,1.76,52.16
"Mexico",2045,1.76,53.92
"Mexico",2046,1.75999999999999,55.68
"Mexico",2047,1.76,57.44
"Mexico",2048,1.76,59.2
"Mexico",2049,1.76,60.96
"Mexico",2050,1.76,62.72
"United States",2015,69.7212,69.7212
"United States",2016,13.61472,83.33592
"United States",2017,9.08376000000001,92.41968
"United States",2018,9.34768,101.76736
"United States",2019,11.92592,113.69328
"United States",2020,19.96008,133.65336
"United States",2021,22.5208,156.17416
"United States",2022,15.94808,172.12224
"United States",2023,20.49048,192.61272
"United States",2024,32.4528856,225.0656056
"United States",2025,29.350496,254.4161016
"United States",2026,28.5300376,282.9461392
"United States",2027,5.14313200000001,288.0892712
"United States",2028,16.0358264,304.1250976
"United States",2029,29.0076272,333.1327248
"United States",2030,34.5679464,367.7006712
"United States",2031,42.75722,410.4578912
"United States",2032,52.3080032,462.7658944
"United States",2033,64.8397984,527.6056928
"United States",2034,71.4117368,599.0174296
"United States",2035,62.2514504,661.26888
"United States",2036,66.175796,727.444676
"United States",2037,57.7839536,785.2286296
"United States",2038,45.0487696000001,830.2773992
"United States",2039,42.0759472,872.3533464
"United States",2040,27.0669336000001,899.42028
"United States",2041,18.3011327999999,917.7214128
"United States",2042,25.6314296,943.3528424
"United States",2043,21.6637512000001,965.0165936
"United States",2044,21.5187623999998,986.535356
"United States",2045,27.3474672,1013.8828232
"United States",2046,32.0783296,1045.9611528
"United States",2047,31.9165616,1077.8777144
"United States",2048,27.023056,1104.9007704
"United States",2049,22.4289640000001,1127.3297344
"United States",2050,37.5017151999999,1164.8314496
