"Province","Total_LDV","Total_Car","Total_Truck"
"Alberta",2975374,903980,2071394
"British Columbia",2971903,1172988,1798915
"Manitoba",770071,255218,514853
"New Brunswick",532460,217273,315187
"Newfoundland and Labrador",341704,117553,224151
"Northwest Territories",21639,3685,17954
"Nova Scotia",590194,262747,327447
"Nunavut",0,0,0
"Ontario",8586498,3630289,4956209
"Prince Edward Island",97106,42313,54793
"Quebec",5393143,2727568,2665575
"Saskatchewan",763587,210895,552692
"Yukon",32884,8751,24133
