Sale Year,BEV,FCEV,PHEV,Total,Share_BEV,Share_PHEV,Share_FCEV
2014,63906,100,55441,119447,0.5350155299002906,0.46414727870938577,8.371913903237419e-4
2015,71701,110,44048,115859,0.6188643092034283,0.38018626088607704,9.49429910494653e-4
2016,84260,1082,72976,158318,0.5322199623542491,0.46094569158276383,0.006834346062987153
2017,106700,2298,93118,202116,0.5279146628668685,0.4607156286488947,0.011369708484236775
2018,236407,2368,122497,361272,0.6543739896809052,0.3390713921920326,0.0065546181270621584
2019,233890,2089,81734,317713,0.7361675474406146,0.2572573360233922,0.006575116535993176
2020,256143,937,71696,328776,0.7790805898240748,0.21806944545830595,0.0028499647176192908
2021,482754,3341,178342,664437,0.7265609832083403,0.2684106995847612,0.005028317206898472
2022,758425,2707,189284,950416,0.7979926684735947,0.19915910506557127,0.0028482264608339926
2023,1117396,2978,287964,1408338,0.7934146490402162,0.2044708017535563,0.0021145492062274824
2024,1169658,552,323099,1493309,0.7832658880379078,0.21636446308165289,0.00036964888043934647
2025,88191,25,23130,111346,0.7920446176782282,0.20773085696836888,2.2452535340290625e-4
